motorID,veh_value,MotorType,PolicyStart,PolicyEnd,exposure,clm,numclaims,claimcst0,v_body,v_age,LastClaimDate
4961,1.37,Single,25/04/2019,25/04/2020,0.59137577,0,0,0,HBACK,1,
2090,1.44,Single,04/09/2019,04/09/2020,0.030116359,0,0,0,HBACK,2,
1908,1.77,Bundle,08/03/2019,08/03/2020,0.249144422,0,0,0,HBACK,2,
3420,0.7,Bundle,22/11/2019,22/11/2020,0.249144422,0,0,0,SEDAN,4,
7634,1.19,Bundle,01/04/2019,01/04/2020,0.906228611,0,0,0,HBACK,2,
7764,1.59,Single,04/09/2019,04/09/2020,0.229979466,0,0,0,SEDAN,1,
1018,1.3,Single,27/06/2019,27/06/2020,0.229979466,0,0,0,HBACK,2,
5963,0.82,Single,03/02/2019,03/02/2020,0.462696783,0,0,0,HDTOP,4,
9181,1.01,Single,30/05/2019,30/05/2020,0.093086927,0,0,0,HBACK,3,
6771,1.17,Single,25/01/2019,25/01/2020,0.769336071,0,0,0,SEDAN,3,
1933,1.12,Bundle,30/06/2019,30/06/2020,0.503764545,0,0,0,HBACK,2,
3750,1.76,Single,05/09/2019,05/09/2020,0.229979466,0,0,0,SEDAN,1,
4960,0.47,Bundle,29/01/2019,29/01/2020,0.750171116,0,0,0,HBACK,4,
9904,1.03,Single,04/04/2019,04/04/2020,0.229979466,0,0,0,STNWG,3,
7865,1.26,Bundle,03/11/2019,03/11/2020,0.355920602,0,0,0,HBACK,3,
2778,0.73,Bundle,28/08/2019,28/08/2020,0.851471595,0,0,0,HBACK,3,
6308,1.31,Bundle,16/07/2019,16/07/2020,0.314852841,0,0,0,HBACK,2,
9309,0.34,Bundle,11/03/2019,11/03/2020,0.213552361,0,0,0,HBACK,4,
8472,0.76,Bundle,23/10/2019,23/10/2020,0.227241615,0,0,0,SEDAN,4,
1570,1.13,Bundle,05/05/2019,05/05/2020,0.377823409,1,1,937.5599957,SEDAN,4,07/06/2019
8062,1.38,Bundle,13/12/2019,13/12/2020,0.249144422,0,0,0,HBACK,1,
7316,0.55,Bundle,27/06/2019,27/06/2020,0.101300479,0,0,0,HBACK,4,
5546,1.37,Bundle,21/05/2019,21/05/2020,0.845995893,0,0,0,HBACK,1,
1528,1.3,Bundle,02/10/2019,02/10/2020,0.90349076,0,0,0,HDTOP,4,
5239,1.61,Bundle,24/01/2019,24/01/2020,0.27926078,0,0,0,HBACK,2,
1828,1.46,Bundle,12/11/2019,12/11/2020,0.221765914,0,0,0,HBACK,1,
5849,0.57,Bundle,27/01/2019,27/01/2020,0.908966461,0,0,0,PANVN,4,
5082,2.234,Bundle,13/04/2019,13/04/2020,0.525667351,0,0,0,SEDAN,1,
4732,1.54,Bundle,05/09/2019,05/09/2020,0.911704312,0,0,0,SEDAN,2,
4699,2.64,Single,09/04/2019,09/04/2020,0.525667351,1,1,462.6999989,UTE,2,17/02/2020
4845,7.199,Bundle,20/04/2019,20/04/2020,0.999315537,1,1,782.3599987,STNWG,1,25/11/2019
9510,2.52,Bundle,09/12/2019,09/12/2020,0.323066393,0,0,0,STNWG,3,
4255,1.54,Single,23/01/2019,23/01/2020,0.238193019,0,0,0,SEDAN,1,
7064,3.43,Single,30/10/2019,30/10/2020,0.224503765,0,0,0,UTE,1,
6730,1.74,Bundle,11/04/2019,11/04/2020,0.090349076,0,0,0,HBACK,2,
9353,4.229,Single,17/08/2019,17/08/2020,0.722792608,0,0,0,UTE,1,
8185,2.97,Bundle,01/07/2019,01/07/2020,0.224503765,0,0,0,STNWG,1,
9078,1.55,Bundle,12/12/2019,12/12/2020,0.093086927,0,0,0,SEDAN,3,
5909,0.44,Bundle,23/07/2019,23/07/2020,0.224503765,0,0,0,SEDAN,4,
9271,1.16,Bundle,25/08/2019,25/08/2020,0.224503765,0,0,0,HBACK,2,
2694,1.22,Bundle,06/11/2019,06/11/2020,0.224503765,0,0,0,HBACK,3,
4256,1.04,Bundle,20/05/2019,20/05/2020,0.848733744,0,0,0,HBACK,2,
7555,1.3,Bundle,01/11/2019,01/11/2020,0.90349076,0,0,0,HBACK,2,
4871,0.84,Bundle,19/03/2019,19/03/2020,0.90349076,0,0,0,SEDAN,3,
7328,3.15,Single,14/06/2019,14/06/2020,0.191649555,0,0,0,SEDAN,2,
2656,0.68,Bundle,01/01/2019,01/01/2020,0.246406571,0,0,0,SEDAN,4,
5565,0.44,Bundle,03/08/2019,03/08/2020,0.848733744,0,0,0,SEDAN,4,
4602,2.76,Bundle,05/08/2019,05/08/2020,0.851471595,0,0,0,STNWG,1,
4303,0.92,Bundle,11/08/2019,11/08/2020,0.752908967,0,0,0,HBACK,3,
5440,1.36,Single,11/03/2019,11/03/2020,0.848733744,0,0,0,STNWG,4,
1467,0.71,Single,16/04/2019,16/04/2020,0.355920602,1,1,353.77,HBACK,4,20/03/2020
1157,1.04,Bundle,14/05/2019,14/05/2020,0.251882272,0,0,0,HBACK,2,
2546,0.98,Bundle,13/02/2019,13/02/2020,0.145106092,0,0,0,HBACK,2,
7418,1.44,Bundle,01/05/2019,01/05/2020,0.169746749,0,0,0,HBACK,1,
1670,1.23,Bundle,28/01/2019,28/01/2020,0.164271047,0,0,0,HBACK,1,
6350,0.97,Bundle,12/10/2019,12/10/2020,0.06844627,0,0,0,SEDAN,3,
1272,0.91,Bundle,30/01/2019,30/01/2020,0.17522245,0,0,0,HBACK,3,
7455,1.54,Bundle,27/01/2019,27/01/2020,0.90349076,0,0,0,TRUCK,4,
6196,0.44,Bundle,17/05/2019,17/05/2020,0.90349076,0,0,0,HBACK,4,
5230,1.43,Bundle,11/09/2019,11/09/2020,0.213552361,1,1,391.3099999,SEDAN,2,29/03/2020
3045,2.16,Bundle,25/02/2019,25/02/2020,0.030116359,0,0,0,PANVN,2,
1614,1.57,Bundle,03/03/2019,03/03/2020,0.5229295,0,0,0,SEDAN,1,
1635,0.93,Bundle,10/07/2019,10/07/2020,0.670773443,0,0,0,HBACK,3,
5838,1.14,Bundle,18/08/2019,18/08/2020,0.5229295,0,0,0,HBACK,3,
8053,1.19,Bundle,20/02/2019,20/02/2020,0.900752909,0,0,0,HBACK,2,
5159,1.96,Bundle,02/11/2019,02/11/2020,0.098562628,0,0,0,HBACK,3,
8524,1.5,Bundle,16/06/2019,16/06/2020,0.843258042,0,0,0,HBACK,1,
2894,1.59,Bundle,23/02/2019,23/02/2020,0.213552361,0,0,0,STNWG,4,
9263,1.41,Bundle,19/02/2019,19/02/2020,0.219028063,0,0,0,HBACK,1,
1364,2.23,Bundle,25/06/2019,25/06/2020,0.755646817,0,0,0,SEDAN,1,
6503,1.54,Bundle,29/09/2019,29/09/2020,0.845995893,1,2,400.0099945,HBACK,2,20/12/2019
7321,1.51,Bundle,29/07/2019,29/07/2020,0.065708419,0,0,0,HBACK,1,
9943,1.62,Bundle,26/05/2019,26/05/2020,0.219028063,0,0,0,HBACK,1,
3300,0.55,Single,22/07/2019,22/07/2020,0.900752909,0,0,0,HBACK,4,
4724,1.48,Bundle,13/12/2019,13/12/2020,0.098562628,0,0,0,HBACK,3,
9941,2.28,Bundle,01/03/2019,01/03/2020,0.062970568,0,0,0,SEDAN,1,
6104,1.26,Bundle,13/12/2019,13/12/2020,0.219028063,0,0,0,HBACK,1,
5057,0.85,Bundle,24/08/2019,24/08/2020,0.167008898,0,0,0,HBACK,3,
5448,5.236,Bundle,11/05/2019,11/05/2020,0.999315537,0,0,0,STNWG,1,
9608,3.6,Bundle,31/07/2019,31/07/2020,0.219028063,0,0,0,UTE,1,
4476,1.34,Bundle,05/11/2019,05/11/2020,0.780287474,0,0,0,HBACK,1,
